Emotion,Valence,Arousal
Angry,-0.4,0.79
Sad,-0.81,-0.4
Afraid,-0.12,0.79
Happy,0.89,0.17
Annoyed,-0.44,0.76
Sleepy,0.01,-1.00
Tired,-0.01,-1.00
Calm,0.78,-0.68
Relaxed,0.71,-0.65
Content,0.81,-0.55
Depressed,-0.81,-0.48
Discontent,-0.68,-0.32
Determined,0.73,0.26
Anxious,-0.72,-0.80
Good,0.90,-0.08
Pensive,0.03,-0.60
Impressed,0.39,-0.06
Frustrated,-0.60,0.40
Disappointed,-0.80,-0.03
Bored,-0.35,-0.78
Enraged,-0.18,0.83
Excited,0.70,0.71
Melancholy,-0.05,-0.65
Satisfied,0.77,-0.63
Distressed,-0.71,0.55
Uncomfortable,-0.68,-0.37
Worried,-0.07,-0.32
Amused,0.55,0.19
Apathetic,-0.20,-0.12
Peaceful,0.55,-0.80
Contemplative,0.58,-0.60
Embarrassed,-0.31,-0.60
Hopeful,0.61,-0.30
Pleased,0.89,-0.10
